country,city_actual,center1label,center2label,neighbourhood,price,city,stars,ratingta,ratingta_count,accommodationtype,scarce_room,hotel_id,offer,offer_cat,year,month,weekend,holiday,distance,distance_alter,accommodation_type,nnight,rating,rating_count,misrating
Austria,Vienna,City centre,Donauturm,17. Hernals,81,Vienna,4.0,3.5,708.0,_ACCOM_TYPE@Hotel,0,21897,1,1-15% offer,2017,11,0,0,1.7,3.8,Hotel,1,3.9,189.0,False
Austria,Vienna,City centre,Donauturm,Alsergrund,85,Vienna,4.0,3.5,629.0,_ACCOM_TYPE@Hotel,0,21901,1,15-50% offer,2017,11,0,0,1.4,2.5,Hotel,1,3.7,53.0,False
Austria,Vienna,City centre,Donauturm,Alsergrund,83,Vienna,3.0,4.0,52.0,_ACCOM_TYPE@Hotel,0,21902,1,15-50% offer,2017,11,0,0,1.7,2.5,Hotel,1,4.0,55.0,False
Austria,Vienna,City centre,Donauturm,Alsergrund,82,Vienna,4.0,3.5,219.0,_ACCOM_TYPE@Hotel,1,21903,1,15-50% offer,2017,11,0,0,1.2,2.8,Hotel,1,3.9,33.0,False
Austria,Vienna,City centre,Donauturm,Alsergrund,103,Vienna,4.0,3.5,251.0,_ACCOM_TYPE@Hotel,1,21906,0,0% no offer,2017,11,0,0,0.9,2.4,Hotel,1,3.9,57.0,False
Austria,Vienna,City centre,Donauturm,Alsergrund,150,Vienna,4.0,4.5,617.0,_ACCOM_TYPE@Hotel,0,21907,0,0% no offer,2017,11,0,0,1.0,2.7,Hotel,1,4.6,161.0,False
Austria,Vienna,City centre,Donauturm,Alsergrund,80,Vienna,2.0,3.5,146.0,_ACCOM_TYPE@Hotel,1,21908,1,1-15% offer,2017,11,0,0,0.7,2.7,Hotel,1,3.5,50.0,False
Austria,Vienna,City centre,Donauturm,Alsergrund,60,Vienna,4.0,4.0,359.0,_ACCOM_TYPE@Hotel,1,21912,1,1-15% offer,2017,11,0,0,1.1,2.7,Hotel,1,4.1,203.0,False
Austria,Vienna,City centre,Donauturm,Alsergrund,128,Vienna,4.0,4.0,829.0,_ACCOM_TYPE@Hotel,0,21913,0,0% no offer,2017,11,0,0,0.8,2.9,Hotel,1,4.0,251.0,False
Austria,Vienna,City centre,Donauturm,Alsergrund,85,Vienna,4.0,4.0,62.0,_ACCOM_TYPE@Hotel,0,21917,1,1-15% offer,2017,11,0,0,1.7,2.6,Hotel,1,4.1,18.0,False
Austria,Vienna,City centre,Donauturm,Alsergrund,77,Vienna,3.0,3.5,97.0,_ACCOM_TYPE@Hotel,0,21918,1,15-50% offer,2017,11,0,0,0.9,2.8,Hotel,1,3.7,20.0,False
Austria,Vienna,City centre,Donauturm,Alsergrund,78,Vienna,3.0,3.5,120.0,_ACCOM_TYPE@Hotel,1,21919,1,15-50% offer,2017,11,0,0,0.8,2.8,Hotel,1,3.9,77.0,False
Austria,Vienna,City centre,Donauturm,Alsergrund,78,Vienna,3.0,3.5,161.0,_ACCOM_TYPE@Hotel,1,21920,0,0% no offer,2017,11,0,0,0.9,2.8,Hotel,1,4.0,76.0,False
Austria,Vienna,City centre,Donauturm,Donaustadt,77,Vienna,3.0,4.0,158.0,_ACCOM_TYPE@Hotel,1,21924,0,0% no offer,2017,11,0,0,4.2,1.5,Hotel,1,3.9,77.0,False
Austria,Vienna,City centre,Donauturm,Donaustadt,77,Vienna,3.0,3.0,91.0,_ACCOM_TYPE@Hotel,0,21925,1,50%-75% offer,2017,11,0,0,3.9,1.9,Hotel,1,2.7,193.0,False
Austria,Vienna,City centre,Donauturm,Donaustadt,95,Vienna,4.0,4.0,228.0,_ACCOM_TYPE@Hotel,0,21926,1,15-50% offer,2017,11,0,0,3.6,1.2,Hotel,1,4.3,94.0,False
Austria,Vienna,City centre,Donauturm,Donaustadt,208,Vienna,4.0,4.0,1085.0,_ACCOM_TYPE@Hotel,1,21930,0,0% no offer,2017,11,0,0,2.9,0.6,Hotel,1,4.1,178.0,False
Austria,Vienna,City centre,Donauturm,Donaustadt,87,Vienna,3.0,3.5,423.0,_ACCOM_TYPE@Hotel,1,21933,0,0% no offer,2017,11,0,0,3.4,0.9,Hotel,1,3.7,330.0,False
Austria,Vienna,City centre,Donauturm,Favoriten,54,Vienna,3.0,4.0,522.0,_ACCOM_TYPE@Hotel,0,21935,1,50%-75% offer,2017,11,0,0,2.0,4.5,Hotel,1,3.5,194.0,False
Austria,Vienna,City centre,Donauturm,Favoriten,99,Vienna,3.5,4.5,630.0,_ACCOM_TYPE@Hotel,0,21940,0,0% no offer,2017,11,0,0,1.7,4.2,Hotel,1,4.4,441.0,False
Austria,Vienna,City centre,Donauturm,Favoriten,75,Vienna,3.5,4.5,573.0,_ACCOM_TYPE@Hotel,0,21941,1,15-50% offer,2017,11,0,0,1.7,4.1,Hotel,1,4.4,1122.0,False
Austria,Vienna,City centre,Donauturm,Favoriten,76,Vienna,3.0,4.0,269.0,_ACCOM_TYPE@Hotel,0,21943,1,15-50% offer,2017,11,0,0,2.1,4.6,Hotel,1,4.4,362.0,False
Austria,Vienna,City centre,Donauturm,Favoriten,91,Vienna,4.0,4.5,741.0,_ACCOM_TYPE@Hotel,0,21946,0,0% no offer,2017,11,0,0,1.9,4.2,Hotel,1,4.5,525.0,False
Austria,Vienna,City centre,Donauturm,Favoriten,56,Vienna,2.0,3.0,183.0,_ACCOM_TYPE@Hotel,1,21948,0,0% no offer,2017,11,0,0,2.0,4.5,Hotel,1,2.0,113.0,False
Austria,Vienna,City centre,Donauturm,Favoriten,33,Vienna,2.0,3.5,491.0,_ACCOM_TYPE@Hotel,0,21956,0,0% no offer,2017,11,0,0,1.8,4.3,Hotel,1,3.4,366.0,False
Austria,Vienna,City centre,Donauturm,Favoriten,71,Vienna,4.0,4.0,31.0,_ACCOM_TYPE@Hotel,0,21959,1,1-15% offer,2017,11,0,0,1.7,4.2,Hotel,1,4.0,821.0,False
Austria,Fischamend,City centre,Donauturm,Fischamend,59,Vienna,3.0,2.5,243.0,_ACCOM_TYPE@Hotel,0,21964,1,15-50% offer,2017,11,0,0,13.0,13.0,Hotel,1,3.0,366.0,False
Austria,Vienna,City centre,Donauturm,Graben,113,Vienna,3.0,4.0,259.0,_ACCOM_TYPE@Hotel,0,21965,1,15-50% offer,2017,11,0,0,0.2,2.9,Hotel,1,4.4,77.0,False
Austria,Vienna,City centre,Donauturm,Graben,299,Vienna,5.0,4.5,702.0,_ACCOM_TYPE@Hotel,1,21967,1,50%-75% offer,2017,11,0,0,0.1,2.8,Hotel,1,4.5,144.0,False
Austria,Vienna,City centre,Donauturm,Innere Stadt,156,Vienna,3.0,4.5,1347.0,_ACCOM_TYPE@Hotel,1,21968,1,1-15% offer,2017,11,0,0,0.3,2.6,Hotel,1,4.5,184.0,False
Austria,Vienna,City centre,Donauturm,Innere Stadt,513,Vienna,5.0,5.0,1126.0,_ACCOM_TYPE@Hotel,1,21969,1,15-50% offer,2017,11,0,0,0.3,2.8,Hotel,1,4.8,78.0,False
Austria,Vienna,City centre,Donauturm,Innere Stadt,133,Vienna,4.0,4.0,466.0,_ACCOM_TYPE@Hotel,1,21970,1,15-50% offer,2017,11,0,0,0.3,2.6,Hotel,1,4.3,319.0,False
