car_model,car_price,date,time,total_mileage,year,gear_type,fuel_type,url,city,area
HYUNDAI HB20 1.0 12V FLEX EVOLUTION MANUAL,72990.0,Hoje,17:53,27400.0,2021,Manual,Flex,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-1-0-12v-flex-evolution-manual-1134675897,Novo Hamburgo,Ideal
Hyundai Hb20 1.0 12v Vision,101690.0,Hoje,17:38,0.0,2022,Manual,Flex,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-1-0-12v-vision-1066917998,Caxias do Sul,Nossa Senhora de Fátima
Hyundai Hb20 1.0 12V FLEX VISION MANUAL,67990.0,Hoje,17:17,40240.0,2022,Manual,Flex,https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-1-0-12v-flex-vision-manual-1130990888,Santa Maria,Km 3
HYUNDAI HB20 10M EVOLUTI 2020,69900.0,Hoje,17:06,29220.0,2020,Manual,Flex,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-10m-evoluti-2020-1148814290,Porto Alegre,São Sebastião
Hyundai Hb20 Comfort 1.0 Flex,51900.0,Hoje,16:48,72000.0,2016,Manual,Flex,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-comfort-1-0-flex-1155479140,Canoas,Marechal Rondon
Hyundai Hb20 Hatch COMFORT 1.0 12V(FLEX),47900.0,Hoje,16:44,65347.0,2014,Manual,Flex,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-hatch-comfort-1-0-12v-flex-1148958449,Santa Cruz do Sul,Várzea
Hyundai Hb20 1.0 12V FLEX VISION MANUAL,69900.0,Hoje,16:44,36100.0,2022,Manual,Flex,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-1-0-12v-flex-vision-manual-1087579531,Santa Cruz do Sul,Várzea
HB20 1.6 Premium 2018 Aut,74900.0,Hoje,16:20,0.0,2018,Automático,Flex,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hb20-1-6-premium-2018-aut-1155465689,Novo Hamburgo,Rincão
Hyundai HB20 1.0 COMFORT PLUS 12V FLEX 4P MANUAL,60000.0,Hoje,16:01,59146.0,2019,Manual,Flex,https://rs.olx.com.br/regioes-de-pelotas-rio-grande-e-bage/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-1-0-comfort-plus-12v-flex-4p-manual-1155457278,Bagé,Getúlio Vargas
Hyundai Hb20 2022 1.0 tgdi flex evolution automático,83900.0,Hoje,16:00,49790.0,2022,Automático,Flex,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-2022-1-0-tgdi-flex-evolution-automatico-1152641496,Porto Alegre,Navegantes
