manager,points,season,date
Vanderlei Luxemburgo,3,2012,2012-05-27
Vanderlei Luxemburgo,0,2012,2012-07-01
Vanderlei Luxemburgo,3,2012,2012-07-18
Vanderlei Luxemburgo,3,2012,2012-07-25
Vanderlei Luxemburgo,0,2012,2012-08-15
Vanderlei Luxemburgo,3,2012,2012-09-13
Vanderlei Luxemburgo,3,2012,2012-10-06
Vanderlei Luxemburgo,1,2012,2012-10-14
Vanderlei Luxemburgo,1,2012,2012-10-20
Vanderlei Luxemburgo,3,2012,2012-11-03
Vanderlei Luxemburgo,3,2012,2012-11-11
Vanderlei Luxemburgo,1,2012,2012-12-02
Oswaldo de Oliveira,3,2012,2012-05-20
Oswaldo de Oliveira,1,2012,2012-07-15
Oswaldo de Oliveira,0,2012,2012-07-22
Oswaldo de Oliveira,3,2012,2012-07-28
Oswaldo de Oliveira,0,2012,2012-08-08
Oswaldo de Oliveira,3,2012,2012-08-15
Oswaldo de Oliveira,1,2012,2012-08-26
Oswaldo de Oliveira,1,2012,2012-09-13
Oswaldo de Oliveira,0,2012,2012-10-10
Celso Roth,1,2012,2012-05-20
Celso Roth,3,2012,2012-06-10
Celso Roth,3,2012,2012-06-16
Celso Roth,0,2012,2012-07-15
Celso Roth,3,2012,2012-09-02
Celso Roth,1,2012,2012-09-29
Celso Roth,0,2012,2012-11-03
Celso Roth,3,2012,2012-11-11
Falcão,1,2012,2012-05-20
Falcão,0,2012,2012-06-10
Caio Júnior,1,2012,2012-07-29
Caio Júnior,1,2012,2012-08-08
Caio Júnior,0,2012,2012-08-11
Jorginho,3,2012,2012-09-02
Jorginho,1,2012,2012-09-05
Jorginho,3,2012,2012-09-16
Jorginho,0,2012,2012-10-10
Jorginho,0,2012,2012-10-17
Jorginho,3,2012,2012-11-18
Jorginho,1,2012,2012-11-25
Joel Santana,3,2012,2012-06-17
Joel Santana,0,2012,2012-07-18
Dorival Júnior,1,2012,2012-07-26
Dorival Júnior,0,2012,2012-09-05
Dorival Júnior,1,2012,2012-09-16
Dorival Júnior,0,2012,2012-09-30
Dorival Júnior,1,2012,2012-10-04
Dorival Júnior,3,2012,2012-10-21
Dorival Júnior,3,2012,2012-11-03
Dorival Júnior,1,2012,2012-11-18
Alexandre Gallo,1,2012,2012-05-26
Alexandre Gallo,3,2012,2012-06-17
Alexandre Gallo,0,2012,2012-06-30
Alexandre Gallo,3,2012,2012-08-05
Alexandre Gallo,3,2012,2012-08-18
Alexandre Gallo,3,2012,2012-08-29
Alexandre Gallo,3,2012,2012-09-16
Alexandre Gallo,1,2012,2012-10-21
Alexandre Gallo,0,2012,2012-11-11
Alexandre Gallo,3,2012,2012-12-02
Luiz Felipe Scolari,0,2012,2012-06-09
Luiz Felipe Scolari,1,2012,2012-06-17
Luiz Felipe Scolari,1,2012,2012-07-15
Luiz Felipe Scolari,0,2012,2012-07-26
Luiz Felipe Scolari,0,2012,2012-08-04
Luiz Felipe Scolari,1,2012,2012-09-01
Luiz Felipe Scolari,3,2012,2012-09-06
Narciso,0,2012,2012-09-16
Gilson Kleina,0,2012,2012-10-11
Gilson Kleina,3,2012,2012-10-20
Gilson Kleina,0,2012,2012-11-11
Muricy Ramalho,1,2012,2012-05-27
Muricy Ramalho,1,2012,2012-07-18
Muricy Ramalho,1,2012,2012-08-11
Muricy Ramalho,1,2012,2012-09-09
Muricy Ramalho,3,2012,2012-09-12
Muricy Ramalho,0,2012,2012-09-22
Muricy Ramalho,1,2012,2012-10-25
Abel Braga,1,2012,2012-06-10
Abel Braga,3,2012,2012-07-19
Abel Braga,1,2012,2012-07-29
Abel Braga,3,2012,2012-08-12
Abel Braga,3,2012,2012-08-18
Abel Braga,1,2012,2012-08-29
Abel Braga,0,2012,2012-09-15
Abel Braga,3,2012,2012-10-06
Abel Braga,3,2012,2012-10-14
Abel Braga,1,2012,2012-10-17
Abel Braga,0,2012,2012-11-18
Abel Braga,0,2012,2012-12-02
Geninho,0,2012,2012-05-26
Geninho,3,2012,2012-06-10
Geninho,3,2012,2012-06-23
Geninho,1,2012,2012-07-01
Geninho,0,2012,2012-07-18
Geninho,3,2012,2012-08-04
Geninho,1,2012,2012-08-19
Geninho,3,2012,2012-08-29
Geninho,0,2012,2012-09-12
Geninho,1,2012,2012-09-29
Geninho,1,2012,2012-10-17
Geninho,0,2012,2012-11-04
Geninho,1,2012,2012-11-18
Geninho,1,2012,2012-12-02
Emerson Leão,3,2012,2012-05-27
Ney Franco,0,2012,2012-07-18
Ney Franco,3,2012,2012-08-05
Ney Franco,3,2012,2012-09-23
Ney Franco,1,2012,2012-11-04
Ney Franco,3,2012,2012-11-18
Tite,0,2012,2012-05-20
Tite,0,2012,2012-07-11
Tite,1,2012,2012-07-21
Tite,1,2012,2012-08-08
Tite,3,2012,2012-08-16
Tite,3,2012,2012-09-02
Tite,1,2012,2012-09-12
Tite,3,2012,2012-09-30
Tite,3,2012,2012-10-10
Tite,3,2012,2012-10-27
Tite,1,2012,2012-11-24
Marcelo Oliveira,1,2012,2012-07-19
Marcelo Oliveira,3,2012,2012-07-28
Marcelo Oliveira,0,2012,2012-08-05
Marcelo Oliveira,3,2012,2012-08-29
Marquinhos Santos,1,2012,2012-09-30
Gilson Kleina,0,2012,2012-05-20
Gilson Kleina,0,2012,2012-07-22
Gilson Kleina,1,2012,2012-08-09
Gilson Kleina,0,2012,2012-08-15
Gilson Kleina,3,2012,2012-09-02
Gilson Kleina,1,2012,2012-09-16
Guto Ferreira,1,2012,2012-09-23
Guto Ferreira,3,2012,2012-10-10
Guto Ferreira,1,2012,2012-11-25
Hélio dos Anjos,0,2012,2012-06-06
Hélio dos Anjos,0,2012,2012-07-07
Jairo,0,2012,2012-08-29
Arthur Neto,0,2012,2012-10-06
Arthur Neto,3,2012,2012-10-13
Arthur Neto,0,2012,2012-10-21
Jairo,0,2012,2012-11-04
Jairo,3,2012,2012-11-10
Jairo,0,2012,2012-12-02
Cuca,3,2012,2012-05-27
Cuca,1,2012,2012-06-06
Cuca,3,2012,2012-08-09
Cuca,3,2012,2012-08-12
Cuca,3,2012,2012-09-09
Cuca,3,2012,2012-09-12
Cuca,1,2012,2012-09-23
Cuca,3,2012,2012-10-14
Cuca,3,2012,2012-10-21
Cuca,1,2012,2012-10-31
Vágner Mancini,1,2012,2012-05-19
Vágner Mancini,0,2012,2012-06-24
Vágner Mancini,1,2012,2012-07-08
Vágner Mancini,1,2012,2012-07-29
Vágner Mancini,0,2012,2012-08-08
Vágner Mancini,0,2012,2012-08-11
Waldemar Lemos,1,2012,2012-08-26
Waldemar Lemos,3,2012,2012-09-23
Sérgio Guedes,0,2012,2012-10-11
Sérgio Guedes,3,2012,2012-11-18
Dorival Júnior,1,2012,2012-07-15
Fernandão,1,2012,2012-07-28
Fernandão,1,2012,2012-08-08
Fernandão,3,2012,2012-08-12
Fernandão,0,2012,2012-08-26
Fernandão,0,2012,2012-09-09
Fernandão,1,2012,2012-09-16
Fernandão,3,2012,2012-10-10
Fernandão,0,2012,2012-11-18
Osmar Loss,0,2012,2012-11-25
Cristóvão Borges,0,2012,2012-06-23
Cristóvão Borges,3,2012,2012-07-25
Cristóvão Borges,1,2012,2012-08-05
Cristóvão Borges,1,2012,2012-08-16
Cristóvão Borges,0,2012,2012-08-25
Cristóvão Borges,0,2012,2012-09-09
Marcelo Oliveira,0,2012,2012-10-10
Marcelo Oliveira,0,2012,2012-11-04
Gaúcho,1,2012,2012-11-11
Argel Fucks,3,2012,2012-05-19
Argel Fucks,1,2012,2012-06-10
Argel Fucks,1,2012,2012-06-24
Argel Fucks,1,2012,2012-07-08
Abel Ribeiro,0,2012,2012-07-22
Hélio dos Anjos,0,2012,2012-07-25
Hélio dos Anjos,0,2012,2012-08-08
Hélio dos Anjos,0,2012,2012-08-16
Márcio Goiano,1,2012,2012-09-01
Márcio Goiano,3,2012,2012-09-05
Márcio Goiano,0,2012,2012-09-22
Márcio Goiano,0,2012,2012-10-24
Márcio Goiano,1,2012,2012-10-27
Fernando Gil,1,2012,2012-11-11
Fernando Gil,0,2012,2012-11-25
Vanderlei Luxemburgo,3,2012,2012-06-24
Vanderlei Luxemburgo,3,2012,2012-08-05
Vanderlei Luxemburgo,3,2012,2012-08-29
Vanderlei Luxemburgo,1,2012,2012-09-30
Oswaldo de Oliveira,0,2012,2012-06-07
Oswaldo de Oliveira,0,2012,2012-06-24
Oswaldo de Oliveira,1,2012,2012-09-23
Oswaldo de Oliveira,3,2012,2012-10-18
Oswaldo de Oliveira,3,2012,2012-11-10
Celso Roth,0,2012,2012-06-30
Celso Roth,3,2012,2012-07-22
Celso Roth,3,2012,2012-07-29
Celso Roth,0,2012,2012-08-05
Celso Roth,1,2012,2012-08-15
Celso Roth,1,2012,2012-08-26
Celso Roth,0,2012,2012-09-05
Celso Roth,1,2012,2012-09-16
Celso Roth,3,2012,2012-10-10
Celso Roth,3,2012,2012-10-17
Celso Roth,3,2012,2012-11-25
Falcão,3,2012,2012-06-17
Falcão,1,2012,2012-07-01
Falcão,0,2012,2012-07-15
Caio Júnior,1,2012,2012-07-22
Caio Júnior,1,2012,2012-08-26
Jorginho,3,2012,2012-09-30
Jorginho,1,2012,2012-10-27
Joel Santana,3,2012,2012-07-01
Dorival Júnior,3,2012,2012-09-26
Dorival Júnior,3,2012,2012-08-19
Dorival Júnior,1,2012,2012-08-30
Dorival Júnior,1,2012,2012-10-13
Dorival Júnior,1,2012,2012-12-01
Alexandre Gallo,3,2012,2012-07-18
Alexandre Gallo,1,2012,2012-09-05
Alexandre Gallo,3,2012,2012-10-06
Alexandre Gallo,3,2012,2012-10-14
Luiz Felipe Scolari,1,2012,2012-05-19
Luiz Felipe Scolari,3,2012,2012-07-01
Luiz Felipe Scolari,3,2012,2012-08-15
Luiz Felipe Scolari,0,2012,2012-08-25
Gilson Kleina,1,2012,2012-11-04
Gilson Kleina,0,2012,2012-11-25
Muricy Ramalho,1,2012,2012-06-06
Muricy Ramalho,1,2012,2012-06-24
Muricy Ramalho,3,2012,2012-07-29
