car_model,car_price,date,time,total_mileage,year,gear_type,fuel_type,url,city,area
Vendo HB20 2015,50000.0,2023-03-07,16:40,88000.0,2015,Manual,Flex,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/vendo-hb20-2015-1156000355,Cachoeirinha,Chácara das Rosas
HYUNDAI HB20 2019/2020 1.0 12V FLEX VISION MANUAL,59900.0,2023-03-07,16:37,91007.0,2020,Manual,Flex,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-2019-2020-1-0-12v-flex-vision-manual-1130693096,Canoas,Marechal Rondon
Hyundai Hb20 1.0 12v Comfort,89690.0,2023-03-07,16:16,0.0,2023,Manual,Flex,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-1-0-12v-comfort-1066957656,Caxias do Sul,Nossa Senhora de Fátima
HB20 Evolution 1.0 Unico Dono 18000km,74900.0,2023-03-07,16:07,18000.0,2021,Manual,Flex,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/autos-e-pecas/carros-vans-e-utilitarios/hb20-evolution-1-0-unico-dono-18000km-1155980908,Getúlio Vargas,Nossa Senhora de Fátima
Hyundai Hb20 2022 1.0 tgdi flex evolution automático,83900.0,2023-03-07,15:59,49790.0,2022,Automático,Flex,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-2022-1-0-tgdi-flex-evolution-automatico-1152641496,Porto Alegre,Navegantes
HYUNDAI HB20 2021/2022 1.0 12V FLEX VISION MANUAL,70990.0,2023-03-07,15:49,47924.0,2022,Manual,Flex,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-2021-2022-1-0-12v-flex-vision-manual-1120767941,São Leopoldo,Scharlau
Hyundai Hb20 2022 1.0 tgdi flex evolution automático,83900.0,2023-03-07,15:28,40600.0,2022,Automático,Flex,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-2022-1-0-tgdi-flex-evolution-automatico-1142330601,Porto Alegre,Navegantes
Hyundai Hb20 2020 1.0 12v flex sense manual,59900.0,2023-03-07,15:27,63270.0,2020,Manual,Flex,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-2020-1-0-12v-flex-sense-manual-1150790384,Porto Alegre,Navegantes
Hb20 1.6 Comfort Plus 2014,49900.0,2023-03-07,15:04,128000.0,2014,Manual,Flex,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hb20-1-6-comfort-plus-2014-1155942240,São Leopoldo,Pinheiro
Hyundai- HB20 Unique 1.0 12v Flex Manual,58900.0,2023-03-07,14:44,69100.0,2019,Manual,Flex,https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-unique-1-0-12v-flex-manual-1080481175,Santa Maria,Camobi
Hyundai HB20 Confort 1.0 - 2017 un dona,49900.0,2023-03-07,14:43,82000.0,2017,Manual,Flex,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-confort-1-0-2017-un-dona-1138765209,Porto Alegre,Jardim Lindóia
Hb20,47000.0,2023-03-07,13:59,66000.0,2016,Manual,Flex,https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/autos-e-pecas/carros-vans-e-utilitarios/hb20-1155906893,Santa Maria,Nossa Senhora das Dores
HB20 em estado de zero KM,61000.0,2023-03-07,13:49,22300.0,2015,Automático,Flex,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hb20-em-estado-de-zero-km-1155900157,Porto Alegre,Auxiliadora
Hyundai HB20 1.0 unique 2019,59990.0,2023-03-07,13:35,85000.0,2019,Manual,Flex,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-1-0-unique-2019-1147959273,Porto Alegre,Partenon
HB20 ,52000.0,2023-03-07,13:26,56000.0,2018,Automático,Flex,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hb20-1155889545,Canoas,Estância Velha
Hb20 1.0 Confort 2016,31500.0,2023-03-07,13:14,200000.0,2016,Manual,Gasolina,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hb20-1-0-confort-2016-1155004606,Porto Alegre,Santa Tereza
HYUNDAI HB20 2021/2022 1.0 12V FLEX VISION MANUAL,70460.0,2023-03-07,13:05,41641.0,2022,Manual,Flex,https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-2021-2022-1-0-12v-flex-vision-manual-1126307951,Santa Maria,Centro
HYUNDAI HB20 1.0 MT EVOLUTION 2021,74900.0,2023-03-07,12:44,30713.0,2021,Manual,Flex,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-1-0-mt-evolution-2021-1148131668,Porto Alegre,Petrópolis
HB20 CONFORT PLUS 2014,46900.0,2023-03-07,12:34,111000.0,2014,Manual,Flex,https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/autos-e-pecas/carros-vans-e-utilitarios/hb20-confort-plus-2014-1116223086,Santa Maria,Centro
Hb20 Comfort 1.0 Flex - 83 Mil Km - Completo,54900.0,2023-03-07,11:22,83000.0,2016,Manual,Flex,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/autos-e-pecas/carros-vans-e-utilitarios/hb20-comfort-1-0-flex-83-mil-km-completo-1147552791,Caxias do Sul,Sagrada Família
