,team,total_points,points_away,points_home,goals_home,goals_away,home_goaladv
1,Palmeiras,81,38,43,39,27,27
2,Internacional,73,29,44,40,18,26
3,Fluminense,70,31,39,39,24,19
4,Corinthians,65,25,40,24,20,13
5,Flamengo,62,26,36,37,23,22
6,Atletico-MG,58,29,29,25,20,7
7,Atletico Paranaense,58,19,39,31,17,14
8,Fortaleza EC,55,26,29,24,22,11
9,Sao Paulo,54,24,30,32,23,11
10,America Mineiro,53,22,31,22,18,4
11,Botafogo,53,31,22,18,23,-1
12,Santos,47,18,29,28,16,9
13,Goias,46,20,26,20,20,-2
14,RB Bragantino,44,15,29,29,20,6
15,Coritiba,42,5,37,25,14,9
16,Cuiaba,41,15,26,17,14,2
17,Ceara,37,17,20,20,14,-2
18,Atletico Goianiense,36,13,23,22,17,-1
19,Avai,35,10,25,24,10,-2
20,Juventude,22,7,15,18,11,-9
