firmid,wave,cty,country,sic,management,operations,monitor,target,people,lean1,lean2,perf1,perf2,perf3,perf4,perf5,perf6,perf7,perf8,perf9,perf10,talent1,talent2,talent3,talent4,talent5,talent6,emp_firm,firmage,ownership,mne_yn
8882,2012,sg,Singapore,32.0,2.5,2.5,2.40000009536743,2.79999995231628,2.33333325386047,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,4700.0,,Dispersed Shareholders,1.0
8884,2012,sg,Singapore,27.0,2.83333325386047,3.0,3.59999990463257,3.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,2.0,4.0,4.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2000.0,63.0,Dispersed Shareholders,1.0
8887,2012,sg,Singapore,20.0,3.72222232818604,3.5,4.0,4.19999980926514,3.16666674613953,4.0,3.0,4.0,3.0,4.0,5.0,4.0,3.0,4.0,5.0,5.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,1000.0,55.0,"Family owned, family CEO",0.0
8889,2012,sg,Singapore,20.0,3.05555558204651,3.0,3.79999995231628,2.40000009536743,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,2.0,1.0,3.0,3.0,1.0,4.0,4.0,3.0,2.0,4.0,2000.0,51.0,"Family owned, family CEO",0.0
8892,2012,sg,Singapore,28.0,3.05555558204651,4.0,3.20000004768372,3.20000004768372,2.5,4.0,4.0,3.0,4.0,4.0,3.0,2.0,1.0,4.0,4.0,3.0,4.0,1.0,3.0,3.0,3.0,2.0,3.0,200.0,49.0,,1.0
8893,2012,sg,Singapore,33.0,2.61111116409302,1.0,3.40000009536743,2.59999990463257,2.5,1.0,1.0,3.0,2.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0,1.0,3.0,4.0,3.0,3.0,1.0,140.0,48.0,Dispersed Shareholders,1.0
8895,2012,sg,Singapore,27.0,3.88888883590698,4.0,4.40000009536743,3.59999990463257,3.66666674613953,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,3.0,2.0,4.0,2.0,4.0,4.0,5.0,4.0,3.0,210.0,,"Founder owned, founder CEO",0.0
8898,2012,sg,Singapore,25.0,1.66666662693024,3.0,1.39999997615814,1.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,300.0,,"Family owned, family CEO",0.0
8903,2012,sg,Singapore,32.0,2.83333325386047,3.0,3.40000009536743,2.20000004768372,2.83333325386047,3.0,3.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,400.0,42.0,Dispersed Shareholders,0.0
8904,2012,sg,Singapore,39.0,2.88888883590698,2.5,3.79999995231628,2.59999990463257,2.5,2.0,3.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,380.0,42.0,Dispersed Shareholders,0.0
8906,2012,sg,Singapore,32.0,4.05555534362793,4.5,4.19999980926514,4.19999980926514,3.66666674613953,4.0,5.0,5.0,3.0,4.0,5.0,4.0,5.0,5.0,5.0,1.0,5.0,4.0,4.0,3.0,4.0,4.0,3.0,300.0,,Dispersed Shareholders,1.0
8908,2012,sg,Singapore,34.0,3.0,3.5,3.59999990463257,2.40000009536743,2.83333325386047,4.0,3.0,4.0,3.0,4.0,4.0,3.0,1.0,4.0,3.0,2.0,2.0,3.0,2.0,4.0,2.0,3.0,3.0,1000.0,,Dispersed Shareholders,1.0
8909,2012,sg,Singapore,20.0,3.05555558204651,1.0,3.20000004768372,3.40000009536743,3.33333325386047,1.0,1.0,2.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,3.0,4.0,2.0,200.0,42.0,Dispersed Shareholders,0.0
8911,2012,sg,Singapore,39.0,3.11111116409302,4.0,4.0,2.40000009536743,2.66666674613953,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,1.0,1.0,3.0,1.0,3.0,4.0,2.0,3.0,3.0,1200.0,41.0,,0.0
8912,2012,sg,Singapore,35.0,3.0,3.5,3.79999995231628,2.20000004768372,2.83333325386047,3.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,171.0,,Private Individuals,0.0
8913,2012,sg,Singapore,34.0,3.5,4.0,4.19999980926514,2.79999995231628,3.33333325386047,4.0,4.0,3.0,5.0,4.0,5.0,4.0,3.0,4.0,1.0,2.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,300.0,41.0,Dispersed Shareholders,1.0
