time,year,month,country,countrycode,cpi_sa,cpi_yoy_nsa,exchange_rate_neer,exchange_rate_reer,exchnage_rate_vs_usd,ind_prod_const,ind_prod_const_sa
1991-01,1991,1,Brunei,BRN,79.04601209768,2.76094078766,,,1.73309020045,,
1991-01,1991,1,Myanmar,MMR,2.08551367534,33.00671460538,,,6.0476,,
1991-01,1991,1,Philippines,PHL,30.58677074221,18.52672750978,140.46447311661,77.08480070095,27.49040640919,3208372127.23514,3169451130.07117
1991-01,1991,1,Malaysia,MYS,58.27813149024,3.63507142473,110.20440063041,108.00545828427,2.71386956522,2754106775.11823,2748642418.56753
1991-01,1991,1,Singapore,SGP,74.82007707666,3.60702115348,75.07420551941,89.93209449734,1.74517391304,1690850632.00994,1667726519.7697
1991-01,1991,1,Lao PDR,LAO,3.88680978253,18.16212121031,,,695.49998142175,,
1991-01,1991,1,Taiwan China,TWN,73.19587628866,5.93754806953,,,27.161,5228372597.95817,5176565658.69976
1991-01,1991,1,Indonesia,IDN,13.69670760297,9.80877337695,,,1904.05356908443,15865468924.8243,16787543483.2868
1991-01,1991,1,Thailand,THA,51.87147879877,6.17075849759,,,25.26,,
1991-01,1991,1,China,CHN,41.36566507577,2.42133823896,129.74377950735,83.60219482337,5.235,359913822628.174,352826356805.262
1991-01,1991,1,United States,USA,61.93445155595,5.64705882353,78.11471373199,98.23876989064,1.0,169329460262.274,169091541301.603
1991-01,1991,1,Chad,TCD,44.03644791518,1.11522099126,,,256.53597799149,,
1991-01,1991,1,Cambodia,KHM,,,,,600.0,,
1991-01,1991,1,Vietnam,VNM,,,,,8834.19488611856,,
1991-01,1991,1,Papua New Guinea,PNG,,,217.30536585031,108.46446304627,0.99166736729,,
1991-02,1991,2,Chad,TCD,45.13934252016,5.94537014536,,,251.97096058828,,
1991-02,1991,2,Taiwan China,TWN,73.12147943458,5.92763664357,,,27.11425,4250305174.93834,4988732598.79131
1991-02,1991,2,Malaysia,MYS,58.47138956136,3.34556741193,109.43561098788,107.10580998371,2.697,2480721176.11752,2656409124.75096
1991-02,1991,2,Thailand,THA,52.17302328564,6.2021213177,,,25.16625,,
1991-02,1991,2,United States,USA,61.98043110424,5.3125,77.00848197081,96.27558250754,1.0,168677965878.131,167940333068.295
1991-02,1991,2,Papua New Guinea,PNG,,,215.31345046778,107.45508676002,0.98627150554,,
1991-02,1991,2,Singapore,SGP,75.20313878442,3.71568078124,75.48244619778,91.02070621013,1.7181,1383813194.18145,1637534814.03185
1991-02,1991,2,China,CHN,41.64388386064,1.85822497301,128.3436151016,82.51681377184,5.235,326262124080.008,346608936853.889
1991-02,1991,2,Indonesia,IDN,13.66019713307,8.86317634376,,,1910.5017620745,16805650920.2797,16919720035.5986
1991-02,1991,2,Lao PDR,LAO,3.96162824631,15.28297923619,,,695.49998142175,,
1991-02,1991,2,Philippines,PHL,31.20359778391,20.3937689312,138.66504125901,77.131079925,27.49040640919,3135856185.60838,2990056211.4685
1991-02,1991,2,Vietnam,VNM,,,,,8834.19488611856,,
1991-02,1991,2,Brunei,BRN,79.18289509599,2.73357202619,,,1.70548626578,,
1991-02,1991,2,Myanmar,MMR,2.1515835062,36.55702851566,,,5.9613,,
1991-02,1991,2,Cambodia,KHM,,,,,600.0,,
1991-03,1991,3,Malaysia,MYS,58.6869422162,3.52346822076,111.36121077414,109.08037564644,2.742,2713605204.8959,2704225058.2793
1991-03,1991,3,China,CHN,41.79781382873,1.87553397002,132.61179001815,85.07394154073,5.235,329242353263.355,340089982697.589
1991-03,1991,3,United States,USA,61.98043110424,4.82115085537,80.23208816831,99.85264396003,1.0,166785260039.974,167047548360.381
1991-03,1991,3,Vietnam,VNM,,,,,8960.39767020597,,
1991-03,1991,3,Indonesia,IDN,13.7614755084,9.33554269992,,,1923.59778251255,15834069615.3934,17230166150.7515
1991-03,1991,3,Brunei,BRN,79.3855605029,2.75488199314,,,1.74411191537,,
1991-03,1991,3,Cambodia,KHM,,,,,600.0,,
1991-03,1991,3,Myanmar,MMR,2.15515937453,35.31544950941,,,6.2008,,
1991-03,1991,3,Lao PDR,LAO,4.05214777189,15.53376917445,,,700.49998128819,,
1991-03,1991,3,Philippines,PHL,31.64434874279,20.91707735162,143.45252327679,80.57902089957,27.49040640919,3451264541.24796,3013678808.02373
1991-03,1991,3,Papua New Guinea,PNG,,,220.49893687834,110.1397964181,0.99809848159,,
1991-03,1991,3,Taiwan China,TWN,72.87703262833,4.70300809284,,,27.267,5376069517.17475,5118059809.85504
