time,year,month,usa_imp_sa
1989-01,1989,1,37513.2
1989-02,1989,2,38561.7
1989-03,1989,3,39724.7
1989-04,1989,4,38664.7
1989-05,1989,5,40909.6
1989-06,1989,6,39780.9
1989-07,1989,7,38951.3
1989-08,1989,8,40117.3
1989-09,1989,9,39232.9
1989-10,1989,10,40961.2
1989-11,1989,11,40429.0
1989-12,1989,12,38364.0
1990-01,1990,1,41380.4
1990-02,1990,2,39164.4
1990-03,1990,3,41830.0
1990-04,1990,4,39796.9
1990-05,1990,5,40599.8
1990-06,1990,6,40687.0
1990-07,1990,7,41315.8
1990-08,1990,8,41795.6
1990-09,1990,9,41343.8
1990-10,1990,10,43875.5
1990-11,1990,11,43066.4
1990-12,1990,12,39986.1
1991-01,1991,1,41282.2
1991-02,1991,2,39411.9
1991-03,1991,3,38896.7
1991-04,1991,4,39769.4
1991-05,1991,5,40256.0
1991-06,1991,6,39842.7
1991-07,1991,7,40413.4
1991-08,1991,8,40901.9
1991-09,1991,9,41488.2
1991-10,1991,10,42461.9
1991-11,1991,11,41653.4
1991-12,1991,12,41795.0
1992-01,1992,1,41809.5
1992-02,1992,2,41370.6
1992-03,1992,3,42681.2
1992-04,1992,4,43398.8
1992-05,1992,5,43954.1
1992-06,1992,6,44954.1
1992-07,1992,7,44989.4
1992-08,1992,8,45466.5
1992-09,1992,9,45670.9
1992-10,1992,10,46159.5
1992-11,1992,11,45971.2
1992-12,1992,12,46238.6
1993-01,1993,1,45495.0
1993-02,1993,2,45102.0
1993-03,1993,3,48969.0
1993-04,1993,4,48573.0
1993-05,1993,5,47942.0
1993-06,1993,6,49189.0
1993-07,1993,7,48112.0
1993-08,1993,8,47901.0
1993-09,1993,9,49083.0
1993-10,1993,10,50820.0
1993-11,1993,11,49939.0
1993-12,1993,12,49534.0
1994-01,1994,1,50027.0
1994-02,1994,2,50399.0
1994-03,1994,3,52267.0
1994-04,1994,4,52936.0
1994-05,1994,5,53830.0
1994-06,1994,6,55731.0
1994-07,1994,7,56096.0
1994-08,1994,8,57396.0
1994-09,1994,9,57640.0
1994-10,1994,10,57950.0
1994-11,1994,11,59778.0
1994-12,1994,12,59204.0
1995-01,1995,1,60492.0
1995-02,1995,2,59836.0
1995-03,1995,3,61390.0
1995-04,1995,4,62557.0
1995-05,1995,5,62311.0
1995-06,1995,6,62698.0
1995-07,1995,7,62479.0
1995-08,1995,8,62042.0
1995-09,1995,9,62845.0
1995-10,1995,10,62028.0
1995-11,1995,11,62138.0
1995-12,1995,12,62727.0
1996-01,1996,1,63825.0
1996-02,1996,2,63519.0
1996-03,1996,3,63806.0
1996-04,1996,4,64459.0
1996-05,1996,5,66464.0
1996-06,1996,6,66087.0
1996-07,1996,7,66253.0
1996-08,1996,8,67329.0
1996-09,1996,9,68080.0
1996-10,1996,10,67423.0
1996-11,1996,11,68364.0
1996-12,1996,12,69681.0
1997-01,1997,1,69846.0
1997-02,1997,2,70131.0
1997-03,1997,3,70023.0
1997-04,1997,4,71262.0
1997-05,1997,5,72137.0
1997-06,1997,6,71658.0
1997-07,1997,7,73330.0
1997-08,1997,8,73623.0
1997-09,1997,9,74408.0
1997-10,1997,10,74641.0
1997-11,1997,11,73588.0
1997-12,1997,12,75056.0
1998-01,1998,1,74523.0
1998-02,1998,2,74184.0
1998-03,1998,3,76369.0
1998-04,1998,4,76350.0
1998-05,1998,5,76492.0
1998-06,1998,6,74911.0
1998-07,1998,7,74594.0
1998-08,1998,8,75707.0
1998-09,1998,9,76107.0
1998-10,1998,10,77880.0
1998-11,1998,11,77912.0
1998-12,1998,12,76867.0
1999-01,1999,1,77781.0
1999-02,1999,2,79842.0
1999-03,1999,3,79569.0
1999-04,1999,4,80801.0
1999-05,1999,5,83200.0
1999-06,1999,6,85868.0
1999-07,1999,7,87186.0
1999-08,1999,8,87837.0
1999-09,1999,9,88512.0
1999-10,1999,10,89923.0
1999-11,1999,11,90984.0
1999-12,1999,12,93115.0
2000-01,2000,1,93900.0
2000-02,2000,2,95901.0
2000-03,2000,3,99176.0
2000-04,2000,4,99242.0
2000-05,2000,5,99651.0
2000-06,2000,6,103019.0
2000-07,2000,7,103349.0
2000-08,2000,8,103665.0
2000-09,2000,9,106396.0
2000-10,2000,10,106056.0
2000-11,2000,11,103993.0
2000-12,2000,12,103673.0
2001-01,2001,1,105470.0
2001-02,2001,2,100350.0
2001-03,2001,3,101853.0
2001-04,2001,4,98164.0
2001-05,2001,5,95150.0
2001-06,2001,6,94978.0
2001-07,2001,7,93680.0
2001-08,2001,8,92569.0
2001-09,2001,9,90957.0
2001-10,2001,10,91322.0
2001-11,2001,11,89979.0
2001-12,2001,12,86527.0
2002-01,2002,1,89443.0
2002-02,2002,2,91539.0
2002-03,2002,3,91447.0
2002-04,2002,4,95972.0
2002-05,2002,5,96395.0
2002-06,2002,6,97848.0
2002-07,2002,7,97197.0
2002-08,2002,8,99721.0
2002-09,2002,9,99364.0
2002-10,2002,10,96860.0
2002-11,2002,11,102120.0
2002-12,2002,12,103460.0
2003-01,2003,1,102284.0
2003-02,2003,2,101719.0
2003-03,2003,3,105340.0
2003-04,2003,4,103175.0
2003-05,2003,5,102613.0
2003-06,2003,6,103398.0
2003-07,2003,7,105082.0
2003-08,2003,8,101990.0
2003-09,2003,9,105721.0
2003-10,2003,10,107040.0
2003-11,2003,11,107742.0
2003-12,2003,12,111017.0
2004-01,2004,1,110890.0
2004-02,2004,2,113977.0
2004-03,2004,3,118678.0
2004-04,2004,4,118542.0
2004-05,2004,5,120671.0
2004-06,2004,6,124355.0
2004-07,2004,7,122979.0
2004-08,2004,8,124224.0
2004-09,2004,9,124400.0
2004-10,2004,10,128810.0
2004-11,2004,11,131867.0
2004-12,2004,12,130310.0
2005-01,2005,1,132065.0
2005-02,2005,2,134921.0
