bd_Start_time,prob,bd_FC_Before_Start,station_number,daily_sum,station_name
2015-04-30,0,-33,14015,0,DARWIN AIRPORT
2015-05-01,0,-9,14015,0,DARWIN AIRPORT
2015-05-02,0,15,14015,0,DARWIN AIRPORT
2015-05-03,1,39,14015,0,DARWIN AIRPORT
2015-05-04,3,63,14015,0,DARWIN AIRPORT
2015-05-05,4,87,14015,0,DARWIN AIRPORT
2015-05-06,2,111,14015,0,DARWIN AIRPORT
2015-05-07,2,135,14015,0,DARWIN AIRPORT
2015-05-08,1,159,14015,0,DARWIN AIRPORT
2015-04-30,0,-33,17126,0,MARREE AERO
2015-05-01,0,-9,17126,0,MARREE AERO
2015-05-02,0,15,17126,0,MARREE AERO
2015-05-03,0,39,17126,0,MARREE AERO
2015-05-04,1,63,17126,0,MARREE AERO
2015-05-05,0,87,17126,0,MARREE AERO
2015-05-06,1,111,17126,0,MARREE AERO
2015-05-07,1,135,17126,0,MARREE AERO
2015-05-08,1,159,17126,0,MARREE AERO
2015-04-30,45,-33,32040,0,TOWNSVILLE AERO
2015-05-01,14,-9,32040,0,TOWNSVILLE AERO
2015-05-02,12,15,32040,0,TOWNSVILLE AERO
2015-05-03,5,39,32040,0,TOWNSVILLE AERO
2015-05-04,3,63,32040,0,TOWNSVILLE AERO
2015-05-05,1,87,32040,0,TOWNSVILLE AERO
2015-05-06,5,111,32040,0,TOWNSVILLE AERO
2015-05-07,11,135,32040,0,TOWNSVILLE AERO
2015-05-08,1,159,32040,0,TOWNSVILLE AERO
2015-05-01,0,-33,14015,0,DARWIN AIRPORT
2015-05-02,1,-9,14015,0,DARWIN AIRPORT
2015-05-03,1,15,14015,0,DARWIN AIRPORT
2015-05-04,0,39,14015,0,DARWIN AIRPORT
2015-05-05,1,63,14015,0,DARWIN AIRPORT
2015-05-06,0,87,14015,0,DARWIN AIRPORT
2015-05-07,1,111,14015,0,DARWIN AIRPORT
2015-05-08,1,135,14015,0,DARWIN AIRPORT
2015-05-09,2,159,14015,0,DARWIN AIRPORT
2015-05-01,0,-33,17126,0,MARREE AERO
2015-05-02,0,-9,17126,0,MARREE AERO
2015-05-03,0,15,17126,0,MARREE AERO
2015-05-04,0,39,17126,0,MARREE AERO
2015-05-05,0,63,17126,0,MARREE AERO
2015-05-06,0,87,17126,0,MARREE AERO
2015-05-07,0,111,17126,0,MARREE AERO
2015-05-08,0,135,17126,0,MARREE AERO
2015-05-09,0,159,17126,0,MARREE AERO
2015-05-01,14,-33,32040,0,TOWNSVILLE AERO
2015-05-02,3,-9,32040,0,TOWNSVILLE AERO
2015-05-03,10,15,32040,0,TOWNSVILLE AERO
2015-05-04,0,39,32040,0,TOWNSVILLE AERO
2015-05-05,0,63,32040,0,TOWNSVILLE AERO
2015-05-06,1,87,32040,0,TOWNSVILLE AERO
2015-05-07,4,111,32040,0,TOWNSVILLE AERO
2015-05-08,4,135,32040,0,TOWNSVILLE AERO
2015-05-09,6,159,32040,0,TOWNSVILLE AERO
2015-05-02,1,-33,14015,0,DARWIN AIRPORT
2015-05-03,1,-9,14015,0,DARWIN AIRPORT
2015-05-04,0,15,14015,0,DARWIN AIRPORT
2015-05-05,1,39,14015,0,DARWIN AIRPORT
2015-05-06,0,63,14015,0,DARWIN AIRPORT
2015-05-07,1,87,14015,0,DARWIN AIRPORT
2015-05-08,0,111,14015,0,DARWIN AIRPORT
2015-05-09,1,135,14015,0,DARWIN AIRPORT
2015-05-10,1,159,14015,0,DARWIN AIRPORT
2015-05-02,0,-33,17126,0,MARREE AERO
2015-05-03,0,-9,17126,0,MARREE AERO
2015-05-04,0,15,17126,0,MARREE AERO
2015-05-05,0,39,17126,0,MARREE AERO
2015-05-06,0,63,17126,0,MARREE AERO
2015-05-07,0,87,17126,0,MARREE AERO
2015-05-08,1,111,17126,0,MARREE AERO
2015-05-09,2,135,17126,0,MARREE AERO
2015-05-10,1,159,17126,0,MARREE AERO
2015-05-02,3,-33,32040,0,TOWNSVILLE AERO
2015-05-03,10,-9,32040,0,TOWNSVILLE AERO
2015-05-04,9,15,32040,0,TOWNSVILLE AERO
2015-05-05,0,39,32040,0,TOWNSVILLE AERO
2015-05-06,0,63,32040,0,TOWNSVILLE AERO
