hhidpn,age,height,hhincome,female
3020,75,1.6256,703.5,1
10001010,74,1.8034,12,0
10003030,58,1.5494,11.88012,1
10004040,68,1.651,19.2,1
10013010,76,1.7272,15.276,0
10013040,66,1.5748,30.401,1
10038010,77,1.7526,129.78,0
10038040,71,1.6764,129.78,1
10050010,72,1.6002,115.328,1
10059020,78,1.6764,819.7,1
10059030,86,1.905,819.7,0
10063010,76,1.6002,9.156,1
10075020,77,1.5748,16.08,1
10097040,67,1.524,18,1
10099010,82,1.6764,51.68,1
10106010,83,1.7272,58.84,0
10106020,81,1.5494,58.84,1
10109030,85,1.6002,105.2,0
10147010,81,1.6256,9.66,1
10210020,75,1.6256,11.1,0
10225010,79,1.6002,6.792,1
10281010,76,1.6764,16.4,1
10281020,79,1.7018,16.4,0
10299010,73,1.778,20.544,0
10299011,62,1.524,0,1
10325020,74,1.6256,44.46,1
10372010,78,1.4986,13,1
10395020,76,1.7272,11.2,1
10397010,73,1.8288,209.2,0
10404010,74,1.6002,21.468,1
10433010,80,1.6764,15.38955872,1
10451010,76,1.524,72.024,1
10451020,74,1.651,72.024,0
10453010,80,1.6256,30.72155087,1
10453020,82,1.8288,30.72155087,0
10458020,75,1.778,79.356,0
10458030,70,1.5875,79.356,1
10475010,82,1.524,17.92,1
10477010,76,1.6256,38.13617844,0
10477020,76,1.4986,38.13617844,1
10481010,73,1.7272,106.164,0
10481020,73,1.5748,106.164,1
10482010,72,1.4478,10.8,1
10533011,82,1.6891,54.38206196,0
10537010,76,1.5748,18.36,1
10537011,82,1.6764,18.36,0
10565020,81,1.7653,18.78414493,0
10571010,73,1.5748,24.096,1
10577010,74,1.5748,35.34,1
10592010,77,1.6764,12.6,1
10611010,72,1.651,19.13988466,1
10645031,67,1.72085,57.26436,1
10648010,73,1.778,16.8,0
10648020,73,1.6002,16.8,1
10672031,69,1.5748,41.58473259,1
10696010,73,1.5875,0,1
10708030,67,1.778,15.852,1
10740010,77,1.6764,14.322,1
10756011,82,1.651,8.832,0
10769040,58,1.6256,90.12,1
10773020,76,1.6002,73.56,1
10773030,85,1.6764,73.56,0
10818010,76,1.7272,18.404,0
10818040,65,1.6256,18.404,1
10822010,73,1.7018,124.9,0
10822040,67,1.651,124.9,1
10893010,74,1.7018,119.82,1
10896010,75,1.6764,10.6,1
10917010,76,1.6002,8.9,1
10929040,72,1.6002,413.204,1
10962010,74,1.5494,38.344,1
10989010,78,1.778,34.548,0
10989020,73,1.5748,34.548,1
11067020,75,1.6256,42.676,1
11067030,72,1.7653,42.676,0
11071010,81,1.5748,28.15618243,1
11071020,78,1.7526,28.15618243,0
11141010,80,1.7526,204.4168376,1
11141020,81,1.8542,204.4168376,0
11179010,77,1.5748,34.512,1
11179020,78,1.6764,34.512,0
11212010,83,1.6764,.012,0
11212011,76,1.524,.012,1
11230010,79,1.6256,11.736,1
11248010,75,1.651,14.192,1
11253010,75,1.651,10.848,1
11256010,72,1.8288,50.236,0
11256040,67,1.5748,50.236,1
11323010,77,1.6764,15.7933445,1
11332010,82,1.778,73.708,0
11332020,73,1.6256,73.708,1
11333020,80,1.6002,19.2,1
11341010,75,1.5113,54.06,1
11345010,74,1.6256,45.21165804,0
11345020,74,1.5494,45.21165804,1
11347020,83,1.7018,64.044,1
11347030,88,1.7018,64.044,0
11368010,81,1.7907,58.771,0
11368020,79,1.6764,58.771,1
11377010,74,1.6637,29.352,0
11377040,68,1.524,29.352,1
11378010,77,1.7018,33.18,0
11378020,73,1.5748,14.508,1
11387020,83,1.5748,12.36,1
11423010,81,1.6256,12.18471032,1
11466040,61,1.5748,6.48,1
11467010,82,1.8542,7.2,1
11477011,53,1.6764,52.092,1
11506010,73,1.651,41.325,1
11563010,81,1.5494,17.341,1
11575020,81,1.8034,42.04,0
