personid,year_week,experiment_time,treatment,phonecalls
28560,201001,0,0,NA
26906,201001,0,0,NA
31888,201001,0,0,0.109
16424,201001,0,0,0.252
6364,201001,0,0,NA
12306,201001,0,0,NA
7720,201001,0,0,NA
29996,201001,0,0,NA
37292,201001,0,0,0.1
28224,201001,0,0,0.24
11390,201001,0,0,NA
40008,201001,0,0,0.095
39748,201001,0,0,NA
41332,201001,0,0,0.156
7068,201001,0,0,NA
25864,201001,0,0,0.047
15444,201001,0,0,NA
14374,201001,0,0,NA
40336,201001,0,0,0.146
38036,201001,0,0,NA
8834,201001,0,0,0.145
39466,201001,0,0,0.062
38862,201001,0,0,0.097
39478,201001,0,0,0.104
18502,201001,0,0,NA
34890,201001,0,0,0.113
6278,201001,0,0,NA
23126,201001,0,0,NA
14384,201001,0,0,NA
39490,201001,0,0,NA
6362,201001,0,0,NA
27704,201001,0,0,0.25
4448,201001,0,0,NA
29172,201001,0,0,0.23
40174,201001,0,0,0.174
17058,201001,0,0,NA
25258,201001,0,0,NA
36288,201001,0,0,0.047
38046,201001,0,0,NA
40346,201001,0,0,0.224
9710,201001,0,0,NA
17812,201001,0,0,NA
40334,201001,0,0,NA
35006,201001,0,0,0.064
40076,201001,0,0,NA
39164,201001,0,0,0.14
14382,201001,0,0,NA
40456,201001,0,0,0.115
19470,201001,0,0,0.105
39502,201001,0,0,NA
21648,201001,0,0,NA
33128,201001,0,0,0.323
24146,201001,0,0,NA
13710,201001,0,0,NA
21604,201001,0,0,NA
16422,201001,0,0,0.059
33354,201001,0,0,0.146
28190,201001,0,0,0.388
35822,201001,0,0,0.286
10098,201001,0,0,0.089
40034,201001,0,0,0.123
37276,201001,0,0,0.115
38552,201001,0,0,0.263
8522,201001,0,0,NA
36314,201001,0,0,0.124
38842,201001,0,0,0.118
19684,201001,0,0,NA
40162,201001,0,0,0.171
29024,201001,0,0,NA
37812,201001,0,0,NA
37798,201001,0,0,0.291
30002,201001,0,0,NA
31150,201001,0,0,0.251
37828,201001,0,0,NA
35408,201001,0,0,NA
32320,201001,0,0,0.319
22022,201001,0,0,NA
29248,201001,0,0,NA
33366,201001,0,0,NA
33278,201001,0,0,0.055
11348,201001,0,0,NA
13980,201001,0,0,0.119
39458,201001,0,0,0.182
17172,201001,0,0,NA
32804,201001,0,0,0.147
38074,201001,0,0,NA
39144,201001,0,0,0.231
12896,201001,0,0,NA
31136,201001,0,0,0.102
5614,201001,0,1,NA
25532,201001,0,1,NA
8980,201001,0,1,NA
26328,201001,0,1,NA
37296,201001,0,1,NA
28226,201001,0,1,NA
38712,201001,0,1,0.096
14048,201001,0,1,0.128
40316,201001,0,1,0.095
39530,201001,0,1,NA
25962,201001,0,1,0.336
36032,201001,0,1,0.103
36494,201001,0,1,0.073
28470,201001,0,1,NA
14532,201001,0,1,NA
42108,201001,0,1,NA
40490,201001,0,1,0.307
23136,201001,0,1,0.148
39512,201001,0,1,NA
10822,201001,0,1,NA
38042,201001,0,1,NA
38070,201001,0,1,NA
38018,201001,0,1,NA
23772,201001,0,1,0.088
40192,201001,0,1,0.158
39634,201001,0,1,0.24
31230,201001,0,1,NA
30972,201001,0,1,NA
30014,201001,0,1,0.197
40322,201001,0,1,0.119
39990,201001,0,1,0.084
4122,201001,0,1,0.223
25700,201001,0,1,NA
13574,201001,0,1,NA
38040,201001,0,1,NA
24324,201001,0,1,0.146
16514,201001,0,1,0.146
14522,201001,0,1,0.06
29032,201001,0,1,NA
21710,201001,0,1,NA
16596,201001,0,1,0.212
38566,201001,0,1,NA
10356,201001,0,1,0.285
26618,201001,0,1,NA
13530,201001,0,1,NA
36306,201001,0,1,NA
39096,201001,0,1,0.074
28492,201001,0,1,NA
19482,201001,0,1,NA
10794,201001,0,1,NA
31936,201001,0,1,0.16
17752,201001,0,1,NA
33350,201001,0,1,0.023
38038,201001,0,1,0.298
38022,201001,0,1,NA
29216,201001,0,1,NA
41320,201001,0,1,0.212
40328,201001,0,1,0.087
38028,201001,0,1,NA
11868,201001,0,1,NA
38580,201001,0,1,0.286
38052,201001,0,1,NA
10226,201001,0,1,NA
39548,201001,0,1,NA
18112,201001,0,1,NA
37294,201001,0,1,0.178
38290,201001,0,1,0.204
15294,201001,0,1,NA
4942,201001,0,1,NA
37804,201001,0,1,NA
31796,201001,0,1,NA
38878,201001,0,1,0.082
40062,201001,0,1,0.151
25638,201001,0,1,0.079
23622,201001,0,1,NA
37784,201001,0,1,NA
24608,201001,0,1,0.144
39942,201001,0,1,0.072
40444,201001,0,1,NA
38898,201001,0,1,0.093
40472,201001,0,1,0.095
17722,201001,0,1,NA
24142,201001,0,1,NA
25520,201001,0,1,0.245
25628,201001,0,1,NA
35344,201001,0,1,0.208
31292,201001,0,1,0.107
26934,201001,0,1,NA
14678,201001,0,1,NA
30448,201001,0,1,NA
32590,201001,0,1,NA
30308,201001,0,1,NA
25940,201001,0,1,NA
37840,201001,0,1,NA
30006,201001,0,1,NA
41286,201001,0,1,0.112
29230,201001,0,1,0.416
22284,201001,0,1,0.451
12974,201001,0,1,0.243
36908,201001,0,1,0.092
9710,201002,0,0,NA
32320,201002,0,0,0.549
16422,201002,0,0,0.425
11348,201002,0,0,NA
28224,201002,0,0,0.54
28560,201002,0,0,NA
17812,201002,0,0,NA
39466,201002,0,0,0.42
29024,201002,0,0,NA
19684,201002,0,0,NA
42152,201002,0,0,0.373
38046,201002,0,0,NA
31150,201002,0,0,0.518
7720,201002,0,0,0.531
6364,201002,0,0,NA
8522,201002,0,0,NA
38036,201002,0,0,NA
36288,201002,0,0,0.482
35408,201002,0,0,NA
33366,201002,0,0,NA
40162,201002,0,0,0.506
29248,201002,0,0,NA
35822,201002,0,0,0.369
38862,201002,0,0,0.521
12896,201002,0,0,NA
37292,201002,0,0,0.57
39164,201002,0,0,0.516
6362,201002,0,0,NA
29996,201002,0,0,NA
39490,201002,0,0,NA
31888,201002,0,0,0.656
11390,201002,0,0,NA
14374,201002,0,0,NA
40456,201002,0,0,0.436
19470,201002,0,0,0.68
40346,201002,0,0,0.493
32804,201002,0,0,0.413
26906,201002,0,0,NA
39502,201002,0,0,NA
39478,201002,0,0,0.488
29172,201002,0,0,0.646
13710,201002,0,0,NA
37798,201002,0,0,0.491
40174,201002,0,0,0.525
8834,201002,0,0,0.511
42140,201002,0,0,NA
42096,201002,0,0,0.391
17058,201002,0,0,NA
36314,201002,0,0,0.498
21604,201002,0,0,NA
16594,201002,0,0,0.516
27704,201002,0,0,0.436
34890,201002,0,0,0.324
33354,201002,0,0,0.484
12426,201002,0,0,0.531
14384,201002,0,0,NA
40034,201002,0,0,0.499
38842,201002,0,0,0.461
37828,201002,0,0,NA
35006,201002,0,0,0.472
4448,201002,0,0,NA
40334,201002,0,0,NA
18494,201002,0,0,NA
40336,201002,0,0,0.389
14220,201002,0,0,0.686
23742,201002,0,0,NA
31136,201002,0,0,0.28
14382,201002,0,0,NA
12306,201002,0,0,NA
39458,201002,0,0,0.365
41332,201002,0,0,0.241
40008,201002,0,0,0.514
38552,201002,0,0,0.439
33278,201002,0,0,0.474
16424,201002,0,0,0.5
39144,201002,0,0,0.543
16334,201002,0,0,0.673
17160,201002,0,0,0.59
24146,201002,0,0,NA
38074,201002,0,0,NA
39748,201002,0,0,NA
28190,201002,0,0,0.541
10098,201002,0,0,0.472
13980,201002,0,0,0.608
30002,201002,0,0,NA
7068,201002,0,0,NA
37812,201002,0,0,NA
26634,201002,0,0,0.563
37276,201002,0,0,0.637
33128,201002,0,0,0.495
6278,201002,0,0,0.354
23126,201002,0,0,NA
17172,201002,0,0,NA
21648,201002,0,0,NA
22022,201002,0,0,NA
15444,201002,0,0,0.586
14556,201002,0,0,NA
25258,201002,0,0,NA
25864,201002,0,0,0.466
40076,201002,0,0,NA
23136,201002,0,1,0.414
24142,201002,0,1,NA
30448,201002,0,1,NA
38040,201002,0,1,NA
8980,201002,0,1,NA
26934,201002,0,1,0.35
16596,201002,0,1,0.298
15294,201002,0,1,NA
29808,201002,0,1,NA
8854,201002,0,1,NA
38070,201002,0,1,NA
37294,201002,0,1,0.522
42108,201002,0,1,0.42
28470,201002,0,1,NA
25532,201002,0,1,NA
21710,201002,0,1,NA
18112,201002,0,1,NA
38022,201002,0,1,NA
41320,201002,0,1,0.429
40490,201002,0,1,0.459
3906,201002,0,1,NA
39530,201002,0,1,NA
26328,201002,0,1,NA
38878,201002,0,1,0.57
38042,201002,0,1,NA
29216,201002,0,1,NA
26618,201002,0,1,NA
24324,201002,0,1,0.365
31230,201002,0,1,NA
17752,201002,0,1,NA
37804,201002,0,1,NA
36306,201002,0,1,NA
30006,201002,0,1,NA
17722,201002,0,1,NA
10794,201002,0,1,NA
39634,201002,0,1,0.713
42104,201002,0,1,0.365
31796,201002,0,1,NA
25940,201002,0,1,NA
40062,201002,0,1,0.538
10356,201002,0,1,0.561
40164,201002,0,1,NA
25520,201002,0,1,0.37
4122,201002,0,1,0.499
29032,201002,0,1,NA
38580,201002,0,1,0.519
31292,201002,0,1,0.556
14528,201002,0,1,0.59
14048,201002,0,1,0.221
38052,201002,0,1,NA
40472,201002,0,1,0.734
38898,201002,0,1,0.549
28492,201002,0,1,NA
42308,201002,0,1,0.036
10226,201002,0,1,NA
36908,201002,0,1,0.391
14522,201002,0,1,0.288
25638,201002,0,1,0.5
4942,201002,0,1,NA
38290,201002,0,1,0.367
37296,201002,0,1,NA
41286,201002,0,1,0.283
30972,201002,0,1,NA
32590,201002,0,1,NA
40328,201002,0,1,0.561
38566,201002,0,1,NA
40316,201002,0,1,0.443
21654,201002,0,1,NA
39990,201002,0,1,0.508
40444,201002,0,1,NA
38038,201002,0,1,0.437
17906,201002,0,1,0.502
29230,201002,0,1,0.616
12974,201002,0,1,0.665
33350,201002,0,1,0.364
13574,201002,0,1,NA
40322,201002,0,1,0.433
41818,201002,0,1,NA
13530,201002,0,1,NA
11868,201002,0,1,NA
39096,201002,0,1,0.848
14678,201002,0,1,NA
36032,201002,0,1,0.391
39548,201002,0,1,NA
39512,201002,0,1,NA
31936,201002,0,1,0.472
23622,201002,0,1,NA
24608,201002,0,1,0.021
37784,201002,0,1,NA
30014,201002,0,1,0.4
16514,201002,0,1,0.428
25628,201002,0,1,NA
30308,201002,0,1,NA
23228,201002,0,1,0.535
39942,201002,0,1,0.26
40192,201002,0,1,0.444
7488,201002,0,1,NA
25700,201002,0,1,NA
19482,201002,0,1,NA
22284,201002,0,1,0.628
38028,201002,0,1,NA
40320,201002,0,1,NA
38712,201002,0,1,0.503
28226,201002,0,1,NA
5614,201002,0,1,NA
10822,201002,0,1,NA
14532,201002,0,1,NA
35344,201002,0,1,0.467
38018,201002,0,1,NA
41318,201002,0,1,NA
23772,201002,0,1,0.304
36494,201002,0,1,0.321
37840,201002,0,1,NA
25962,201002,0,1,0.463
14382,201003,0,0,NA
35006,201003,0,0,0.505
17812,201003,0,0,NA
29024,201003,0,0,NA
25258,201003,0,0,NA
